scenario_type,scenario_label,expected_eligible,count,pct
normal_forward,正常顺推,True,116,58.0
delayed_upload,补传延迟,True,24,12.0
ambiguous_candidates,多候选歧义,False,7,3.5
finance_reverse,财务倒推,True,7,3.5
missing_head,缺头,True,10,5.0
missing_tail,缺尾,True,8,4.0
long_cycle_nonclinical,长周期非临床,True,8,4.0
business_family_conflict,业务族冲突,False,5,2.5
role_conflict,角色/来源冲突,False,4,2.0
cross_clinic,跨诊所,False,3,1.5
validation_block_device,候选+设备冲突,False,3,1.5
device_conflict,设备身份冲突,False,3,1.5
causal_inversion,因果倒置,False,1,0.5
manager_exception,经理个案批准,False,1,0.5
